cuisine,percent,raw,weight
italian,1,7838,1
mexican,0.821383006,6438,1
southern_us,0.55116101,4320,1
indian,0.383133452,3003,1
chinese,0.341030875,2673,1.25
french,0.337586119,2646,1.25
cajun_creole,0.197244195,1546,1.25
thai,0.19635111,1539,1.25
japanese,0.181551416,1423,1.25
greek,0.149910692,1175,1.25
spanish,0.126180148,989,1.5
korean,0.105894361,830,1.5
vietnamese,0.105256443,825,1.5
moroccan,0.104746109,821,1.5
british,0.102577188,804,1.5
filipino,0.096325593,755,2
irish,0.085098239,667,2
jamaican,0.067108956,526,2
russian,0.062388364,489,2
brazilian,0.059581526,467,2
